id, author, latitude, longitude
0, Hsieh  Hung-Nien, 24.80361, 120.96861
1, Hu  Tai-Shan, 24.80361, 120.96861
2, Chia  Ping-Ching, 24.80361, 120.96861
3, Liu  Chieh-Chung, 24.80361, 120.96861
4, Tian  Qing, 24.94829, 121.35251
5, Chen  Songcan, 24.94829, 121.35251
6, Tan  Xiaoyang, 24.94829, 121.35251
7, Thorndahl  Soren, 39.29156, -121.47747
8, Smith  James A., -25.85, 30.95
9, Baeck  Mary Lynn, -25.85, 30.95
10, Krajewski  Witold F., 39.29156, -121.47747
11, Liu  Yuyun, 30.72608, 108.67483
12, Wang  Lin, 30.72608, 108.67483
13, Zhou  Wen, 22.28455, 114.1582
14, Chen  Wen, 30.72608, 108.67483
15, Manca  Germana, -30.24671, 27.03918
16, Attaway  David F., -33.56804, 26.82476
17, Waters  Nigel, -33.56804, 26.82476
18, Braham  Cheikh-Baye, 20.93098, -17.03465
20, Laurec  Alain, -14.1, 22.85
23, Roberts  A. J., -17.89028, 31.13833
24, MacKenzie  T., -30.2391, 25.40611
25, Bunder  J. E., -17.89028, 31.13833
27, Saros  Jasmine E., 43.94444, -85.51944
28, Harcombe  William R., -19.8, 32.78333
29, Riehl  William J., 42.57664, 1.51779
30, Dukovski  Ilija, 42.57664, 1.51779
31, Granger  Brian R., 42.57664, 1.51779
32, Betts  Alex, -19.8, 32.78333
33, Lang  Alex H., 42.57664, 1.51779
34, Bonilla  Gracia, 42.57664, 1.51779
35, Kar  Amrita, 42.57664, 1.51779
36, Leiby  Nicholas, -19.8, 32.78333
37, Mehta  Pankaj, 42.57664, 1.51779
38, Marx  Christopher J., -19.8, 32.78333
39, Segre  Daniel, 42.57664, 1.51779
40, Lucia Puertas  Olga, 13.68889, -90.00389
41, Henriquez  Cristian, 13.68889, -90.00389
42, Javier Meza  Francisco, 13.68889, -90.00389
43, Kaneko  Yayoi, -8.4, 147.15
44, Kanda  Em, -8.4, 147.15
45, Tashima  Sara, 44.0, 143.0
46, Masuda  Ryuich, 44.0, 143.0
47, Newman  Christopher, 51.83333, -1.25
48, Macdonald  David W., 51.83333, -1.25
49, Tan  Chin Wee, -18.42263, 29.69904
50, Gardiner  Bruce S., -17.13333, 30.4
51, Hirokawa  Yumiko, -18.42263, 29.69904
52, Smith  David W., -17.13333, 30.4
53, Burgess  Antony W., -18.42263, 29.69904
54, Thompson  Craig K., -32.06987, 115.83757
55, Wayne  Adrian F., -34.59789, 116.26566
56, Godfrey  Stephanie S., -32.06987, 115.83757
57, Thompson  R. C. Andrew, -32.06987, 115.83757
58, Pieroh  Philipp, 51.34198, 12.37498
59, Birkenmeier  Gerd, 51.34198, 12.37498
60, Dehghani  Faramarz, 48.46667, 8.75
61, Folmer  Eelke O., -27.6995, 26.86868
62, Drent  Jan, -27.6995, 26.86868
63, Troost  Karin, 51.4925, 4.05
64, Buettger  Heike, 45.79929, -121.48702
65, Dankers  Norbert, -27.6995, 26.86868
66, Jansen  Jeroen, -27.6995, 26.86868
67, van Stralen  Marnix, 0, 0
68, Millat  Gerald, 53.52344, 8.10746
69, Herlyn  Marc, 53.7072, 7.14695
70, Philippart  Catharina J. M., -27.6995, 26.86868
71, Li  Sen, -25.90866, 24.89688
72, Vanwambeke  Sophie O., -25.90866, 24.89688
73, Licoppe  Alain M., 50.561, 4.697
74, Speybroeck  Niko, -23.37915, 29.14658
75, Iskhakov  I., 45.95678, -122.57093
76, Ribakov  Y., 45.95678, -122.57093
77, de Almeida  Ronaldo, -5.0, -78.0
78, Elias Bernardi  Jose Vicente, 18.44495, -66.38128
79, Oliveira  Ronaldo Cavalcante, 39.02592, -8.25165
80, de Carvalho  Dario Pires, 39.02592, -8.25165
81, Manzatto  Angelo Gilberto, 39.02592, -8.25165
82, de Lacerda  Luiz Drude, 41.69312, -8.20746
83, Bastos  Wanderley Rodrigues, 39.02592, -8.25165
84, Kuhn  Michael A., 39.67861, -104.96944
86, Feigelson  Eric D., 39.67861, -104.96944
87, Getman  Konstantin V., 39.67861, -104.96944
88, Broos  Patrick S., 39.67861, -104.96944
89, Townsley  Leisa K., 39.67861, -104.96944
90, Povich  Matthew S., 39.67861, -104.96944
93, Busk  Heather A., 39.67861, -104.96944
94, Luhman  Kevin L., 39.67861, -104.96944
99, Smith  Martin D., -19.3, 29.65
100, Asche  Frank, 41.39864, -88.61396
101, Bennear  Lori S., -19.3, 29.65
102, Oglend  Atle, 41.39864, -88.61396
103, Borysov  I. D., 40.50602, 43.5952
104, Potseluiev  S. I., 40.50602, 43.5952
105, Yatsenko  T. Yu., 50.45466, 30.5238
106, Sweeney  Stuart, -25.83333, 27.88333
107, Steigerwald  Douglas G., -25.83333, 27.88333
108, Davenport  Frank, -25.83333, 27.88333
109, Eakin  Hallie, -29.03143, 26.15937
110, Smolinsky  Radovan, 49.8233, 13.66545
111, Gvozdik  Lumir, 49.8233, 13.66545
112, Bonsall  Michael B., -18.16938, 30.45156
113, Dooley  Claire A., 51.59837, -1.11073
114, Kasparson  Anna, -24.19163, 31.08152
115, Brereton  Tom, -18.03066, 31.62801
116, Roy  David B., 51.59837, -1.11073
117, Thomas  Jeremy A., -18.16938, 30.45156
118, Venerus  Leonardo A., -42.7692, -65.03851
119, Irigoyen  Alejo J., -42.7692, -65.03851
120, Galvan  David E., -42.7692, -65.03851
121, Parma  Ana M., -42.7692, -65.03851
122, Parunov  Leonid A., -24.19163, 31.08152
123, Soshitova  Natalia P., -24.19163, 31.08152
124, Fadeeva  Olgaa., -24.19163, 31.08152
125, Balandina  Annan., -24.19163, 31.08152
126, Kopylov  Konstantin G., -24.19163, 31.08152
127, Kumskova  Maria A., -24.19163, 31.08152
128, Gilbert  James C., -19.8, 32.78333
129, Schaub  Robert G., -19.8, 32.78333
130, McGinness  Kathleen E., -19.8, 32.78333
131, Ataullakhanov  Fazoil I., -24.19163, 31.08152
132, Panteleev  Mikhail A., -24.19163, 31.08152
133, Bisht  P., 0, 0
134, Kumar  P., 27.7261, 85.3005
136, Rawat  J. S., 0, 0
137, Sharma  M. P., 41.88027, 21.52905
138, Hooda  R. S., 41.88027, 21.52905
139, Chen  Youhua, 45.63873, -122.66149
140, Sheng  Yajun, 30.73454, 119.52652
141, Zhang  Chen, 30.73454, 119.52652
142, Qiu  Xingye, 30.73454, 119.52652
143, Zheng  Wei, 30.73454, 119.52652
144, Ruan  Jishou, 30.73454, 119.52652
145, Shao  Yiming, 30.72608, 108.67483
146, Yoon  Sook Hee, 37.56667, 126.96667
148, Kim  Jaemin, 37.56667, 126.96667
149, Lee  Hak-Kyo, 37.01083, 127.27028
150, Park  Bongkyun, 37.56667, 126.96667
152, Colak  Serdar, -19.8, 32.78333
153, Schneider  Christian M., -19.8, 32.78333
154, Wang  Pu, 24.45722, 118.32972
155, Gonzalez  Marta C., -19.8, 32.78333
156, Martinez Molina  Mario, 19.42847, -99.12766
157, Moreno-Armendariz  Marco A., 19.42847, -99.12766
158, Tuoh Mora  Juan Carlos Seck, 19.42847, -99.12766
159, Duncombe  Jennifer, -27.44453, 153.01852
160, Espino  Fe, 14.39028, 121.0475
161, Marollano  Kristian, 14.39028, 121.0475
162, Velazco  Aldwin, 14.39028, 121.0475
163, Ritchie  Scott A., -32.41089, 26.72992
164, Hu  Wenbiao, -27.44453, 153.01852
165, Weinstein  Philip, -17.89028, 31.13833
166, Clements  Archie C. A., -27.44453, 153.01852
167, Boucekkine  R., -23.23594, 30.32318
168, Camacho  C., -19.05, 29.56667
169, Fabbri  G., 35.04139, 32.90139
170, Schaefer  J. A., 42.87064, -71.95175
171, Mahoney  S. P., 45.5287, 9.229
172, Sivrikaya  Fatih, 38.0, 37.0
173, Baskent  Emin Zeki, 40.99511, 39.78973
174, Bozali  Nuri, 38.0, 37.0
175, Zhang Wen, 40.16375, 94.63988
179, Burczynski  T., 44.76166, -88.25149
180, Szczepanik  M., 50.3011, 18.6498
181, Vargas  Roger I., 19.72972, -155.09
182, Stark  John D., 47.18538, -122.2929
183, Banks  John, 47.25288, -122.44429
184, Leblanc  Luc, 63.0625, -149.57194
185, Manoukis  Nicholas C., 19.72972, -155.09
186, Peck  Steven, 40.23384, -111.65853
187, Heppenstall  Alison J., -18.49435, 31.4284
188, Harland  Kirk, -18.49435, 31.4284
189, Ross  Andrew N., -18.49435, 31.4284
190, Olner  Dan, -18.49435, 31.4284
191, Thiele  Elizabeth A., 40.41226, -86.93668
192, Correa-Oliveira  Guilherme, 39.31253, -7.42363
193, Gazzinelli  Andrea, 39.31253, -7.42363
194, Minchella  Dennis J., 40.41226, -86.93668
204, Brazil  Reginaldo Pecanha, -22.91046, -43.16313
205, van Egeraat  Chris, -20.26667, 29.28333
206, O'Riain  Sean, -20.26667, 29.28333
207, Kerr  Aphra, -20.26667, 29.28333
208, Yuan  Sanling, -22.46563, 28.93706
209, Xu  Chaoqun, -22.46563, 28.93706
210, Zhang  Tonghua, -18.42263, 29.69904
211, Xu  Zhihua, 22.28455, 114.1582
212, Yeh  Anthony, 22.28455, 114.1582
213, McLaughlin  Michael R., 33.45484, -88.78866
214, Brooks  John P., 33.45484, -88.78866
215, Adeli  Ardeshir, 33.45484, -88.78866
216, Sun  Gui-Quan, 24.0053, 120.5189
217, Li  Li, 24.0053, 120.5189
218, Zhang  Zi-Ke, 48.76649, 6.85753
219, Hendriks  Rob J. J., 0, 0
220, Carvalheiro  Luisa G., -26.84966, 30.28178
221, Kleukers  Roy M. J. C., -26.84966, 30.28178
222, Biesmeijer  Jacobus C., -26.84966, 30.28178
223, Roukos  Vassilis, -23.48627, 29.36672
224, Voss  Ty C., -23.48627, 29.36672
225, Schmidt  Christine K., -23.48627, 29.36672
226, Lee  Seungtaek, -33.12326, 27.21349
227, Wangsa  Darawalee, -23.48627, 29.36672
228, Misteli  Tom, -23.48627, 29.36672
230, Zhao  K. J., 36.3, 127.4
231, Dong  J. Q., 30.06518, 102.19527
232, Yan  L. W., 26.36828, 115.34289
233, Diamond  P. H., 32.71533, -117.15726
234, Cheng  J., 26.36828, 115.34289
235, Hong  W. Y., 26.36828, 115.34289
236, Huang  Z. H., 26.36828, 115.34289
237, Xu  M., 32.71533, -117.15726
238, Tynan  G. R., 32.71533, -117.15726
240, Itoh  S. -I., 6.7325, 125.18417
241, Fujisawa  A., 6.7325, 125.18417
242, Nagashima  Y., 6.7325, 125.18417
243, Inagaki  S., 6.7325, 125.18417
244, Wang  Z. X., 23.90452, 120.5298
245, Wei  L., 23.90452, 120.5298
246, Li  Q., 26.36828, 115.34289
247, Ji  X. Q., 26.36828, 115.34289
248, Huang  Y., 26.36828, 115.34289
249, Liu  Yi., 26.36828, 115.34289
250, Zhou  J., 26.36828, 115.34289
251, Song  X. M., 26.36828, 115.34289
252, Yang  Q. W., 26.36828, 115.34289
256, Guan  Wenjiang, 43.94444, -85.51944
257, Cao  Jie, 43.94444, -85.51944
258, Chen  Yong, 43.94444, -85.51944
259, Cieri  Matthew, 43.84897, -69.64338
260, Foster  Jane R., 38.67935, -121.9683
261, Townsend  Philip A., 38.67935, -121.9683
262, Mladenoff  David J., 38.67935, -121.9683
263, Smith  Vincent M., 42.19458, -122.70948
264, Greene  Robert B., 15.21233, 145.7545
265, Silbernagel  Janet, 38.67935, -121.9683
266, Akhand  Anirban, 22.56263, 88.36304
267, Chanda  Abhra, 22.56263, 88.36304
268, Dutta  Sachinandan, 22.56263, 88.36304
269, Manna  Sudip, 22.56263, 88.36304
270, Sanyal  Pranabes, 22.56263, 88.36304
271, Hazra  Sugata, 22.56263, 88.36304
272, Rao  K. H., 17.38405, 78.45636
273, Dadhwal  V. K., 17.38405, 78.45636
274, Makki  Toktam, 32.75084, 51.86127
275, Fakheran  Sima, 32.75084, 51.86127
276, Moradi  Hossein, 32.75084, 51.86127
277, Iravani  Majid, 32.75084, 51.86127
278, Senn  Josef, 47.35515, 8.44256
279, Assing  Sigurd, -22.59382, 29.20773
281, Robertson  Colin, -18.95, 32.18333
282, Pant  Dhan Kumar, 27.70169, 85.3206
283, Joshi  Durga Datt, 27.70169, 85.3206
284, Sharma  Minu, 27.70169, 85.3206
285, Dahal  Meena, 27.70169, 85.3206
286, Stephen  Craig, 49.16638, -123.94003
287, Ai  Dexiecuo, 23.08964, 112.73373
288, Gravel  Dominique, 48.44879, -68.52396
289, Chu  Chengjin, 23.08964, 112.73373
290, Wang  Gang, 23.08964, 112.73373
291, Dignowity  Doreen, -25.8, 20.16667
292, Wilson  Mario, -25.8, 20.16667
293, Rangel-Fonseca  Piero, -25.8, 20.16667
294, Aboites  Vicente, -25.8, 20.16667
295, Clausen  L. B. N., -27.29613, 30.66222
296, Baker  J. B. H., 37.22957, -80.41394
297, Ruohoniemi  J. M., 37.22957, -80.41394
298, Milan  S. E., -18.08742, 31.44043
299, Coxon  J. C., -18.08742, 31.44043
300, Wing  S., -18.4698, 31.30199
301, Ohtani  S., -18.4698, 31.30199
302, Anderson  B. J., -18.4698, 31.30199
303, Ma Shengming, 24.67383, 120.91564
304, Zhu Lixin, 30.72608, 108.67483
305, Liu Chongmin, 24.67383, 120.91564
306, Xi Mingjie, 24.67383, 120.91564
307, Tang Shixin, 24.67383, 120.91564
308, Lopez-Rocha  Jorge A., 43.68052, -91.68876
309, Arreguin-Sanchez  Francisco, 28.0, -113.5
310, Lebedinskii  K. S., 0, 0
311, Boiko  M. V., 0, 0
312, Shcherbakov  I. N., 0, 0
313, Lyashenko  M. N., 0, 0
314, Bulgarevich  S. B., 0, 0
315, Li  Sen, 29.1488, 106.21889
316, Tao  Haiyan, 29.1488, 106.21889
317, Xu  Yong, 29.1488, 106.21889
318, Sweeney  Stuart, -25.83333, 27.88333
319, Steigerwald  Douglas G., -25.83333, 27.88333
320, Davenport  Frank, -25.83333, 27.88333
321, Eakin  Hallie, -29.03143, 26.15937
322, Mushet  David M., 45.24818, -122.81593
323, Euliss  Ned H.  Jr., -33.97898, 18.84888
324, Chen  Yongjiu, 45.24818, -122.81593
325, Stockwell  Craig A., 45.24818, -122.81593
327, Kim  Taehyun, 37.56667, 126.96667
328, Kim  Hongkyu, 37.56667, 126.96667
329, Lyons  Mitchell B., -25.68765, 23.57241
330, Roelfsema  Chris M., -25.68765, 23.57241
331, Phinn  Stuart R., -25.68765, 23.57241
332, Rasmussen  Jonas Ribergaard, 0, 0
333, Pedersen  Morten Foldager, 55.64152, 12.08035
334, Olesen  Birgit, 0, 0
335, Nielsen  Soren Laurentius, 55.64152, 12.08035
336, Pedersen  Troels Moller, 55.64152, 12.08035
337, McKie  Linda, -19.3, 29.65
340, Grueter  Cyril C., 51.34198, 12.37498
342, Plumptre  Andrew J., -14.41129, 31.6098
344, Mundry  Roger, 51.34198, 12.37498
346, Robbins  Martha M., 51.34198, 12.37498
349, Zhang  Dawen, 24.67306, 121.12694
350, Zhang  Xia, 29.1488, 106.21889
351, Tian  Lei, 29.0, 85.25
352, Ye  Feng, 29.1488, 106.21889
353, Huang  Xiaoping, 29.1488, 106.21889
354, Zeng  Yanyi, 29.1488, 106.21889
355, Fan  Minling, 29.1488, 106.21889
356, Sitters  Gerrit, -24.46667, 27.25
357, Heller  Iddo, -24.46667, 27.25
358, Broekmans  Onno D., -24.46667, 27.25
359, Farge  Geraldine A., -24.46667, 27.25
360, Menges  Carolin, 51.78582, 5.0268
361, Wende  Wolfgang, 0, 0
362, Hell  Stefan W., 51.73333, 10.1
363, Peterman  Erwin J. G., -24.46667, 27.25
364, Wuite  Gijs J. L., -24.46667, 27.25
365, Liu  Chun, 40.65862, -96.91364
366, Sibly  Richard M., 40.65862, -96.91364
367, Grimm  Volker, -23.32829, 29.29561
368, Thorbek  Pernille, 40.65862, -96.91364
369, Shi Hong, 25.01769, 121.17416
370, Ge Yanhui, 25.01769, 121.17416
374, Cichy  R., -19.8, 32.78333
375, Pantazis  D., -19.8, 32.78333
376, Oliva  A., -19.8, 32.78333
377, Zhang  Y., 45.5287, 9.229
378, Zhao  X. -Q., 45.5287, 9.229
379, Ashbury  Alison, -31.2, 27.28333
380, Aprilinayati  Fikty, -6.21462, 106.84513
381, van Noordwijk  Maria A., -31.2, 27.28333
382, Willems  Erik P., -31.2, 27.28333
383, van Schaik  Carel P., -31.2, 27.28333
384, Li  Yongmei, 30.72608, 108.67483
385, Zhou  Bing, 46.44326, -114.08427
386, Sun  Guofu, 24.01139, 121.57939
387, Yang  Boyan, 30.72608, 108.67483
389, Xiao  Y, 62.16129, -149.85075
390, Kunnath  SK, 46.60894, 14.27822
391, Monti  G, -30.95501, 29.86571
393, Xiao  Y, 62.16129, -149.85075
394, Kunnath  SK, 46.60894, 14.27822
395, Monti  G, -30.95501, 29.86571
397, He  GJ, 55.83333, 13.65
399, van den Brand  J., -24.51667, 28.88333
400, Stittelaar  K., -24.51667, 28.88333
401, van Amerongen  G., -24.51667, 28.88333
402, Reperant  L., -24.51667, 28.88333
403, de Waal  L., -24.51667, 28.88333
404, Osterhaus  A., -24.51667, 28.88333
405, Kuiken  T., -24.51667, 28.88333
406, Anderson  Joshua R., 42.6409, -78.1339
407, Behringer  Donald C., 42.6409, -78.1339
408, Vitkovsky  V. O., 43.10562, 131.87353
409, Prants  S. V., 43.10562, 131.87353
411, Fonseca  Sofia, -18.39374, 30.99452
412, Milho  Joao, -18.39374, 30.99452
413, Travassos  Bruno, 40.28601, -7.50396
414, Araujo  Duarte, -18.39374, 30.99452
415, Vilella  Francisco J., 33.45484, -88.78866
416, Nimitz  Wyatt F., 33.45484, -88.78866
418, Lehtimaki  Sari, 60.17556, 24.93417
419, Savinko  Terhi, 60.17556, 24.93417
420, Lahl  Katharina, -34.4394, 19.45615
421, Sparwasser  Tim, 47.11139, -101.42654
422, Wolff  Henrik, 60.17556, 24.93417
423, Lauerma  Antti, 60.17556, 24.93417
424, Alenius  Harri, 60.17556, 24.93417
425, Fyhrquist  Nanna, 60.17556, 24.93417
426, Veit  Franziska, 51.5125, 7.47695
427, Assmann  Marc, 51.5125, 7.47695
428, Bayer  Manfred, 51.5125, 7.47695
429, Immonen  Taina, 35.73199, -105.15167
430, Gibson  Richard, -20.23776, 29.60549
431, Leitner  Thomas, 35.73199, -105.15167
432, Miller  Melanie A., -20.23776, 29.60549
433, Arts  Eric J., -20.23776, 29.60549
434, Somersalo  Erkki, -20.23776, 29.60549
435, Calvetti  Daniela, -20.23776, 29.60549
436, Ren Chunping, 23.90452, 120.5298
437, Zou Zhili, 23.90452, 120.5298
438, Gomez  Cecile, 47.80691, -110.84272
439, Lagacherie  Philippe, -17.8157, 32.16667
440, Coulouma  Guillaume, -17.8157, 32.16667
441, Fyhrquist  N., 60.17556, 24.93417
442, Lehtimaki  S., 60.17556, 24.93417
443, Savinko  T., 60.17556, 24.93417
444, Lahl  K., -34.4394, 19.45615
445, Sparwasser  T., 47.11139, -101.42654
446, Wolff  H., 60.17556, 24.93417
447, Lauerma  A., 60.17556, 24.93417
448, Alenius  H., 60.17556, 24.93417
449, McLaughlin  Michael R., 33.45484, -88.78866
450, Brooks  John P., 33.45484, -88.78866
451, Adeli  Ardeshir, 33.45484, -88.78866
452, Chang  Wei-Chih, 25.02588, 121.65161
453, Lee  Chia-Ming, 25.02588, 121.65161
454, Shyu  Bai-Chuang, 25.02588, 121.65161
455, Lundquist  J. E., 61.21806, -149.90028
456, Reich  R. M., 0, 0
457, Tuffly  M., 0, 0
458, Sidharthan  Raghuprasad, -29.53333, 30.16667
459, Bhat  Chandra R., -29.53333, 30.16667
460, Molchanov  S. A., -22.42397, 30.5856
461, Yarovaya  E. B., -24.19163, 31.08152
462, Booth  Michael T., 43.34082, -90.28179
463, Shipley  Andrea J., -24.98575, 30.07985
464, Carney  L. J., -23.02804, 29.83268
465, Sabatos-Peyton  C. A., -23.02804, 29.83268
466, Wraith  D. C., -23.02804, 29.83268
467, Zhu  Gaoru, 30.72608, 108.67483
468, Xu  Xuegong, 30.72608, 108.67483
469, Ma  Zongwen, 30.72608, 108.67483
470, Xu  Lifen, 30.72608, 108.67483
471, Porter  John H., 38.02931, -78.47668
472, Mueller  Robert, 51.73333, 10.1
473, Mueller  Daniel, 48.46667, 8.75
474, Schierhorn  Florian, 48.46667, 8.75
475, Gerold  Gerhard, 51.73333, 10.1
476, Pacheco  Pablo, -6.46639, 108.05083
477, van den Brand  Judith M. A., -24.51667, 28.88333
478, Stittelaar  Koert J., -24.51667, 28.88333
479, van Amerongen  Geert, -24.51667, 28.88333
480, Reperant  Leslie, -24.51667, 28.88333
482, Osterhaus  Albert D. M. E., -24.51667, 28.88333
483, Kuiken  Thijs, -24.51667, 28.88333
484, Bharti  N., -25.85, 30.95
485, Broutin  H., -23.48627, 29.36672
486, Grais  R. F., -19.05, 29.56667
487, Ferrari  M. J., 0, 0
488, Djibo  A., 13.52139, 2.10528
489, Tatem  A. J., -23.48627, 29.36672
490, Grenfell  B. T., -23.48627, 29.36672
491, Ray  J., 40.78637, -105.25693
492, McKenna  S. A., 35.08449, -106.65114
493, Waanders  B. van Bloemen, 35.08449, -106.65114
494, Marzouk  Y. M., -19.8, 32.78333
495, Horta  Sebastian, -20.28333, 30.66667
496, Defeo  Omar, -20.28333, 30.66667
497, Driscoll  Don A., -19.33417, 30.05945
498, Whitehead  Catherine A., -17.89028, 31.13833
499, Lazzari  Juliana, -19.33417, 30.05945
500, Grabowski  M., -19.45, 29.18333
501, Lessler  J., -19.45, 29.18333
502, Redd  A., -19.45, 29.18333
503, Bwanika  J., -19.45, 29.18333
504, Lutalo  T., -19.45, 29.18333
505, Nalugoda  F., -19.45, 29.18333
506, Kagaayi  J., -19.45, 29.18333
507, Serwadda  D., -19.45, 29.18333
508, Laeyendecker  O., -19.45, 29.18333
509, Wawer  M., -19.45, 29.18333
510, Gray  R., -19.45, 29.18333
511, Dey  Supravat, 18.0, 74.0
512, Das  Dibyendu, 18.0, 74.0
513, Rajesh  R., -24.53161, 29.34588
515, Codding  Brian F., -34.4394, 19.45615
516, Bird  Rebecca Bliege, -34.4394, 19.45615
517, Wodarz  Dominik, 42.66497, -105.30554
518, Hofacre  Andrew, 42.66497, -105.30554
519, Lau  John W., 42.66497, -105.30554
520, Sun  Zhiying, 42.66497, -105.30554
521, Fan  Hung, 42.66497, -105.30554
522, Komarova  Natalia L., 42.66497, -105.30554
523, Jacoby  David M. P., -18.65128, 29.802
524, Brooks  Edward J., -18.65128, 29.802
525, Croft  Darren P., -18.65128, 29.802
526, Sims  David W., -18.65128, 29.802
527, Cipriotti  Pablo A., 13.91139, -87.47389
528, Aguiar  Martin R., 13.91139, -87.47389
529, Wiegand  Thorsten, 51.34198, 12.37498
530, Paruelo  Jose M., 13.91139, -87.47389
531, Moura  Ariadne do Nascimento, -8.01175, -34.95291
532, do Nascimento  Emanuel Cardoso, -8.01175, -34.95291
533, Dantas  Enio Wocyli, -7.14838, -34.95068
534, Nishimura  Tamako, -31.59933, 18.93743
535, Honda  Hisao, 34.76667, 134.85
536, Takeichi  Masatoshi, -31.59933, 18.93743
543, Li  Chunjian, 30.72608, 108.67483
544, Martin  L. N., 13.91139, -87.47389
545, Dmitruk  P., 13.91139, -87.47389
